Rank,Name,Symbol,Revenue,Price ,Country
1,Amazon,AMZN,691330000000,210,United States
2,JD.com,JD,180831297548,26.53,China
3,Alibaba,BABA,140349927580,144.11,China
4,PDD Holdings (Pinduoduo),PDD,58065226650,103.73,China
5,Meituan,3690.HK,39019324097,10.3726,China
6,Coupang,CPNG,33664000000,19.08,United States
7,MercadoLibre,MELI,26193000000,1757.58,Argentina
8,Sea Limited,SE,21037037000,108.45,Singapore
9,Carvana,CVNA,18266000000,334.16,United States
10,Vipshop,VIPS,14776674831,17.42,China
11,Rakuten,4755.T,14313945425,5.30878,Japan
12,Zalando,ZAL.DE,12937849536,24.533,Germany
13,Chewy,CHWY,12584186000,27.42,United States
14,Wayfair,W,12241000000,76.33,United States
15,eBay,EBAY,10714000000,90.86,United States
16,Shopify,SHOP,10696000000,120.73,Canada
17,JD Health,6618.HK,7969181163,7.2538,China
18,Copart,CPRT,4655159000,38.09,United States
19,Alibaba Health Information Technology,0241.HK,4216557366,0.713238,Hong Kong
20,Instacart (Maplebear Inc.),CART,3633000000,37.51,United States
21,momo.com Inc.,8454.TW,3516668882,6.14211,Taiwan
22,Cimpress,CMPR,3461387000,73.05,Ireland
23,ASOS,ASC.L,3345981868,3.84631,United Kingdom
24,Dingdong Maicai,DDL,3334209847,2.84,China
25,Redcare Pharmacy,RDC.DE,3158596374,71.7073,Netherlands
26,Allegro.eu,ALE.WA,3031287529,7.76953,Poland
27,Etsy,ETSY,2854027000,54.88,United States
28,Americanas,AMER3.SA,2457235474,1.09396,Brazil
29,THG (The Hut Group),THG.L,2197854123,0.470179,United Kingdom
30,About You,YOU.DE,2141906472,7.76846,Germany
31,Monotaro,3064.T,1789202280,13.3377,Japan
32,Newegg,NEGG,1603447000,44.46,United States
33,Ocado,OCDO.L,1542741032,2.83051,United Kingdom
34,Global Fashion Group,GFG.DE,1504008703,0.297943,Luxembourg
35,LuxExperience,LUXE,1392086614,9.67,Germany
36,Baozun,BZUN,1354003283,2.51,China
37,ZOZO,3092.T,1347712599,7.30189,Japan
38,Mercari,4385.T,1215261708,23.5597,Japan
39,Revolve,RVLV,1195039000,25.16,United States
40,Lightspeed POS,LSPD,1157458000,9.03,Canada
41,GoTo,GOTO.JK,1042569232,0.00363962,Indonesia
42,Nykaa,NYKAA.NS,1013373599,2.91595,India
43,BHG Group AB,BHG.ST,1003350401,2.87949,Sweden
44,Boohoo Group,DEBS.L,995691167,0.296388,United Kingdom
45,Allied Tecnologia,ALLD3.SA,956645138,1.41903,Brazil
46,Global-e,GLBE,888450000,34.97,Israel
47,SRP Groupe (Showroomprive.com),SRP.PA,748578377,0.82289,France
48,CEWE,CWC.F,747559901,117.758,Germany
49,Delticom AG,DEX.DE,700882848,3.06219,Germany
50,Vend Marketplaces,VENDA.OL,696831993,35.6446,Norway
51,The RealReal,REAL,662789000,12.26,United States
52,Vivid Seats,SEAT,643775000,5.96,United States
53,Infibeam Avenues,INFIBEAM.NS,631084453,0.185625,India
54,a.k.a. Brands,AKA,595281000,10.01,United States
55,Groupe LDLC,ALLDL.PA,578520176,17.5573,France
56,CarParts.com,PRTS,560632000,0.71,United States
57,Wirtualna Polska (WP Holding),WPL.WA,542767289,17.0479,Poland
58,Verkkokauppa.com,VERK.HE,529884942,4.29179,Finland
59,Groupon,GRPN,496093000,12.62,United States
60,Westwing Group,WEW.DE,489330536,21.2225,Germany
61,Cettire Limited,CTT.AX,488168216,0.231432,Australia
62,Liquidity Services,LQDT,476669000,31.61,United States
63,The Original BARK Company,BARK,451690000,0.7813,United States
64,Uxin Limited,UXIN,355744114,3.53,China
65,BigCommerce,BIGC,337541000,4.78,United States
66,Bukalapak.com,BUKA.JK,318930281,0.00871122,Indonesia
67,Rent the Runway,RENT,314500000,5.97,United States
68,Bike24 Holding,BIKE.DE,306702748,3.55876,Germany
69,Lulu's Fashion Lounge,LVLU,285413000,15.45,United States
70,Katapult Holdings,KPLT,280839000,6.16,United States
71,ThredUp,TDUP,258776000,4.88,United States
72,VTEX,VTEX,234087000,3.43,United Kingdom
73,LightInTheBox Holding,LITB,219105000,2.64,Singapore
74,Mister Spex,MRX.F,216940125,1.44833,Germany
75,1-800-PetMeds,PETS,206572000,2.74,United States
76,Vente-Unique.com,ALVU.PA,198960959,18.0303,France
77,Auction Technology Group,ATG.L,190151000,4.20332,United Kingdom
78,Grove Collaborative,GROV,180808000,1.41,United States
79,Jumia,JMIA,173223000,8.23,Germany
80,IndiaMART,INDIAMART.NS,167731216,23.4172,India
81,Hong Kong Technology Venture Company (HKTV),1137.HK,167190979,0.18534,Hong Kong
82,Hour Loop,HOUR,140790433,1.91,United States
83,Kits Eyecare,KITS.TO,137691377,12.974,Canada
84,1stdibs.com,DIBS,89422000,4.81,United States
85,Meds Apotek AB,MEDS.ST,75221222,3.88679,Sweden
86,Webuy Global,WBUY,58303835,1.06,Singapore
87,Yunji,YJ,57955663,1.51,China
88,Shoper,SHO.WA,56285647,12.0371,Poland
89,CDON AB,CDON.ST,41423570,8.20178,Sweden
90,Natural Health Trends,NHTC,40873000,3.2,United States
91,INTERSHOP Communications,ISHA.DE,38204508,1.40695,Germany
92,MSTC Limited,MSTCLTD.NS,34850721,5.02175,India
93,Upexi,UPXI,20694575,0.6631,United States
94,Jeffs' Brands,JFBR,13688000,0,Israel
95,Kidpik,PIK,7783420,2.38,United States
96,Treasure Global,TGL,1358317,4.66,Malaysia
97,Ozon,OZON.ME,0,61.89,United States
